SEQ_ID,UNITID,OPEID,opeid6,INSTNM,CITY,STABBR,INSTURL,NPCURL,LOCALE
130,106111,945915,9459,Empire Beauty School-NW Phoenix,Glendale,AZ,www.empire.edu,www.empire.edu/net-price-calculator,11
131,106148,107900,1079,Yavapai College,Prescott,AZ,www.YC.EDU,www.yc.edu/webtools/forms/netpricecalc/,13
132,106245,110100,1101,University of Arkansas at Little Rock,Little Rock,AR,ualr.edu/www/,npc.collegeboard.org/student/app/ualr,12
133,106263,110900,1109,University of Arkansas for Medical Sciences,Little Rock,AR,www.uams.edu,www.uams.edu,12
134,106281,3065100,30651,ABC Beauty College Inc,Arkadelphia,AR,www.abc-beautycollege.com,www.abc-beautycollege.com,32
135,106306,108700,1087,Arkansas Baptist College,Little Rock,AR,www.arkansasbaptist.edu,arkansasbaptist.edu/New_NetPriceCalculator/npcalc.htm,12
136,106315,3005100,30051,Arkansas Beauty School,Little Rock,AR,arkbeautyschool.com,arkbeautyschool.com,12
137,106324,3997300,39973,Arkansas Beauty College,Russellville,AR,arkansasbeautycollegerussellville.com,arkansasbeautycollegerussellvillear.com/npcalc.htm,33
138,106342,108800,1088,Lyon College,Batesville,AR,www.lyon.edu,my.lyon.edu/ics/default.aspx,33
139,106351,3023400,30234,Arkansas College of Barbering and Hair Design,North Little Rock,AR,www.arkansascollegeofbarbering.com,www.arkansascollegeofbarbering.com,13
140,106360,2363500,23635,Arthur s Beauty College Inc-Fort Smith,Fort Smith,AR,www.arthursbeautycollege.com,www.arthursbeautycollege.com,13
141,106397,110800,1108,University of Arkansas,Fayetteville,AR,www.uark.edu,finaid.uark.edu/331.php,13
142,106412,108600,1086,University of Arkansas at Pine Bluff,Pine Bluff,AR,www.uapb.edu,www.uapb.edu/index.php?option=com_content&view=article&id=59,13
143,106449,109100,1091,Arkansas State University-Beebe,Beebe,AR,www.asub.edu,www.asub.edu/finaid/npcalc/npcalc.htm,31
144,106458,109000,1090,Arkansas State University-Main Campus,Jonesboro,AR,www2.astate.edu,www.astate.edu/a/finaid/tuition-fees/net-price-calculator/index.dot,13
145,106467,108900,1089,Arkansas Tech University,Russellville,AR,www.atu.edu,www.atu.edu/finaid/npcalc.htm,33
146,106485,108500,1085,University of Arkansas at Monticello,Monticello,AR,www.uamont.edu,www.collegeportraits.org/AR/UAM/estimator/agree,33
147,106494,2538500,25385,Arthur s Beauty College Inc-Jacksonville,Jacksonville,AR,arthursbeautycollege.com,www.arthursbeautycollege.com,21
148,106546,3105200,31052,Baptist Health Schools-Little Rock,Little Rock,AR,www.bhslr.edu,www.bhslr.edu/student-services/accounts/netprice/npcalc.htm,12
149,106625,2052200,20522,Black River Technical College,Pocahontas,AR,www.blackrivertech.edu,finaid.blackrivertech.edu,41
150,106704,109200,1092,University of Central Arkansas,Conway,AR,www.uca.edu,www.uca.edu/financialaid/AidCalculator.php,13
151,106713,109300,1093,Central Baptist College,Conway,AR,www.cbc.edu,www.cbc.edu/students/financial_aid/net_price_calculator.aspx,13
152,106795,2220900,22209,Cossatot Community College of the University of Arkansas,De Queen,AR,www.cccua.edu/,www.cccua.edu/public/userfiles/files/FinAid/NPC/npcalc.htm,41
153,106810,109500,1095,Crowley s Ridge College,Paragould,AR,www.crc.edu/,www.crc.edu/,41
